actor,title,score,start_year,type
Yunjin Kim,Yesterday,5.0,2002,Movie
Yunjin Kim,Iron Palm,6.1,2002,Other/Unknown
Yunjin Kim,Rush!,6.8,2001,Other/Unknown
Yunjin Kim,Danjeogbiyeonsu,5.7,2000,Movie
Yunjin Kim,Swiri,6.7,1999,Movie
Evangeline Lilly,Real Steel,7.1,2011,Movie
Evangeline Lilly,Lost,8.5,2004,TV Series
Evangeline Lilly,Afterwards,5.9,2008,Movie
Evangeline Lilly,The Hurt Locker,7.6,2008,Movie
Terry O'Quinn,Full Circle,6.9,2013,TV Series
Terry O'Quinn,Gang Related,7.6,2014,TV Series
Terry O'Quinn,666 Park Avenue,6.9,2012,TV Series
Terry O'Quinn,Ring of Fire,4.6,2012,Other/Unknown
Terry O'Quinn,Hallelujah,8.3,2011,TV Movie
Terry O'Quinn,Taken from Me: The Tiffany Rubin Story,6.2,2011,TV Movie
Terry O'Quinn,Lost,8.5,2004,TV Series
Terry O'Quinn,The Animated Alias: Tribunal,6.5,2004,Movie
Terry O'Quinn,Phenomenon II,5.0,2003,TV Movie
Terry O'Quinn,The Locket,7.5,2002,TV Movie
Terry O'Quinn,Hometown Legend,5.6,2002,Movie
Terry O'Quinn,American Outlaws,6.0,2001,Movie
Terry O'Quinn,WW 3,5.0,2001,TV Movie
Terry O'Quinn,Semper Fi,5.2,2001,TV Movie
Terry O'Quinn,Harsh Realm,7.3,1999,TV Series
Terry O'Quinn,Rated X,5.9,2000,TV Movie
Terry O'Quinn,Millennium,8.1,1996,TV Series
Terry O'Quinn,Murder in a Small Town,6.5,1999,TV Movie
Terry O'Quinn,The X Files,6.9,1998,Movie
Terry O'Quinn,Breast Men,5.8,1997,TV Movie
Terry O'Quinn,"My Stepson, My Lover",4.4,1997,TV Movie
Terry O'Quinn,On the Edge of Innocence,6.4,1997,TV Movie
Terry O'Quinn,Shadow Conspiracy,4.9,1997,Movie
Terry O'Quinn,Primal Fear,7.7,1996,Movie
Terry O'Quinn,Ray Alexander: A Menu for Murder,5.8,1995,TV Movie
Terry O'Quinn,Shadow Warriors,5.0,1995,Movie
Terry O'Quinn,A Friend to Die For,6.2,1994,TV Movie
Terry O'Quinn,Justice in a Small Town,5.8,1994,TV Movie
Terry O'Quinn,Don't Talk to Strangers,5.7,1994,TV Movie
Terry O'Quinn,Heart of a Child,7.2,1994,TV Movie
Terry O'Quinn,Lipstick Camera,4.0,1994,Movie
Terry O'Quinn,MacShayne: Winner Takes All,6.0,1994,TV Movie
Terry O'Quinn,Amityville: A New Generation,3.6,1993,Movie
Terry O'Quinn,Visions of Murder,5.9,1993,TV Movie
Terry O'Quinn,Born Too Soon,6.1,1993,TV Movie
Terry O'Quinn,My Samurai,4.2,1992,Movie
Terry O'Quinn,The Good Fight,6.5,1992,TV Movie
Terry O'Quinn,Wild Card,5.3,1992,TV Movie
Terry O'Quinn,Sexual Advances,6.2,1992,TV Movie
Terry O'Quinn,Trial: The Price of Passion,7.2,1992,TV Movie
Terry O'Quinn,Deliver Them from Evil: The Taking of Alta View,5.9,1992,TV Movie
Terry O'Quinn,The Cutting Edge,6.8,1992,Movie
Terry O'Quinn,Company Business,5.6,1991,Movie
Terry O'Quinn,The Rocketeer,6.4,1991,Movie
Terry O'Quinn,Son of the Morning Star,7.4,1991,TV Movie
Terry O'Quinn,The Last to Go,7.0,1991,TV Movie
Terry O'Quinn,Kaleidoscope,5.9,1990,TV Movie
Terry O'Quinn,Prisoners of the Sun,6.8,1990,Movie
Terry O'Quinn,Perry Mason: The Case of the Desperate Deception,7.5,1990,TV Movie
