actor,awards,major,media_info,metacritic,score,title,years
Jorge Garcia,No Awards,Major Role,7 min                 - Comedy|Short                 -              8 February 2002(USA),No Metacritic,5.8,The Slow and the Cautious,(2002)
Jorge Garcia,"Won 4 Golden Globes.
Another 9 wins & 32 nominations.

See more awards »",Not Major Role,TV Series                                     -                             30 min                 - Comedy,No Metacritic,7.4,Spin City,(1996–2002)
Jorge Garcia,No Awards,Major Role,89 min                 - Comedy|Drama|Thriller                 -              2 August 2001(Germany),No Metacritic,5.8,Tomorrow by Midnight,(2001)
Jorge Garcia,No Awards,Major Role,,No Metacritic,4.4,King of the Open Mics,(2000)
Jorge Garcia,"5 wins & 8 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 30 min                 - Animation|Adventure|Comedy,No Metacritic,6.8,The Wild Thornberrys,(1998–2004)
Jorge Garcia,No Awards,Major Role,77 min                 - Action|Drama,No Metacritic,4.6,Raven's Ridge,(1997)
Naveen Andrews,No Awards,Major Role,TV Series                                     - Drama|Sci-Fi,No Metacritic,Not yet released,Sense8,(2015– )
Naveen Andrews,"1 nomination.

See more awards »",Major Role,Video Game                         - Action|Thriller                 -              18 November 2014(USA),No Metacritic,9.1,Far Cry 4,(2014)
Naveen Andrews,"1 win & 2 nominations.

See more awards »",Major Role,TV Series                                 -                                 42 min                 - Adventure|Drama|Fantasy,No Metacritic,7.1,Once Upon a Time in Wonderland,(2013– )
Naveen Andrews,"1 nomination.

See more awards »",Major Role,113 min                 - Biography|Drama|Romance                 -              20 September 2013(UK),35/100,5.4,Diana,(2013)
Naveen Andrews,No Awards,Major Role,TV Movie                         -                             60 min                 - Drama                 -              2013(USA),No Metacritic,8.0,Reckless,(2013)
Naveen Andrews,"5 nominations.

See more awards »",Major Role,TV Series                                     -                             60 min                 - Action|Adventure|Fantasy,No Metacritic,6.6,Sinbad,(2012– )
Naveen Andrews,"Won 1 Golden Globe.
Another 69 wins & 296 nominations.

See more awards »",Major Role,TV Series                                 -                                 44 min                 - Adventure|Drama|Fantasy,No Metacritic,8.5,Lost,(2004–2010)
Naveen Andrews,"Won 1 Golden Globe.
Another 43 wins & 121 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 60 min                 - Crime|Drama|Mystery,No Metacritic,8.1,Law & Order: Special Victims Unit,(1999– )
Naveen Andrews,No Awards,Major Role,93 min                 - Horror|Thriller                 -              15 June 2010(USA),No Metacritic,3.9,Animals,(2008)
Naveen Andrews,"Nominated for 1 Golden Globe.
Another 1 win & 6 nominations.

See more awards »",Major Role,122 min                 - Crime|Drama|Thriller                 -              14 September 2007(USA),56/100,6.8,The Brave One,(2007)
Naveen Andrews,"2 nominations.

See more awards »",Major Role,105 min                 - Action|Horror                 -              21 June 2007(Israel),No Metacritic,7.2,Planet Terror,(2007)
Naveen Andrews,"2 wins & 9 nominations.

See more awards »",Not Major Role,191 min                 - Action|Horror|Thriller                 -              6 April 2007(USA),77/100,7.7,Grindhouse,(2007)
Naveen Andrews,No Awards,Major Role,113 min                 - Crime|Drama                 -              6 April 2007(UK),39/100,6.6,Provoked: A True Story,(2006)
Naveen Andrews,"Nominated for 3 Primetime Emmys.
Another 1 nomination.

See more awards »",Major Role,TV Movie                     -                                 167 min                 - Action|Adventure|Biography                 -              14 April 2006(Germany),No Metacritic,5.3,The Ten Commandments,(2006)
Naveen Andrews,"4 nominations.

See more awards »",Major Role,122 min                 - Comedy|Drama|Musical                 -              11 February 2005(USA),55/100,6.2,Bride & Prejudice,(2004)
Naveen Andrews,"1 nomination.

See more awards »",Major Role,99 min                 - Comedy|Romance|Drama                 -              27 March 2004(Japan),47/100,5.9,Easy,(2003)
Naveen Andrews,No Awards,Major Role,TV Movie                         - Crime|Drama|Sci-Fi                 -              2003(USA),No Metacritic,6.3,Future Tense,(2003)
Naveen Andrews,"2 nominations.

See more awards »",Major Role,98 min                 - Action|Sci-Fi|Sport                 -              8 February 2002(USA),14/100,2.9,Rollerball,(2002)
